,Technology,"Capacity added,kW"
0,"biomass (conv) (cooling pond),year=2035",7661.210381412839
1,"gas (CC) (recirculating),year=2035",100380187.55505654
2,"gas (steam/CT) (dry cooling),year=2035",22128.234145104012
3,"biomass (IGCC) (dry cooling),year=2035",817085.8904016323
4,"PV_peak,year=2035",697255.4585489599
5,"CSP_peak (recirculating),year=2035",46123.73877473364
6,"gas (steam/CT) (seawater),year=2035",161681.93483241374
7,"PV_int,year=2035",33449042.744799595
8,"gas (CC) (seawater),year=2035",5357418.226305653
9,"PV_subpeak,year=2035",4849443.951040082
10,"Gen_III (seawater),year=2035",2341522.563278652
11,"hydro_base,year=2035",33377600.202942673
12,"refined liquids (CC) (dry cooling),year=2035",6627.882923717432
13,"refined liquids (CC) (seawater),year=2035",8488.652781508343
14,"refined liquids (CC) (recirculating),year=2035",8409.909533828752
15,"PV_base_storage,year=2035",1158783.8419583968
16,"Gen_III (cooling pond),year=2035",2596286.7833587015
17,"biomass (IGCC) (recirculating),year=2035",915030.0280072074
18,"gas (steam/CT) (recirculating),year=2035",688036.0542019438
19,"biomass (conv) (dry cooling),year=2035",66767.33574327752
20,"wind_base_offshore,year=2035",13614505.628488075
21,"CSP_peak (dry_hybrid),year=2035",46123.73877473364
22,"biomass (conv) (recirculating),year=2035",837918.4843092487
23,"CSP_subpeak (recirculating),year=2035",275255.3278792492
24,"geothermal (recirculating),year=2035",2375317.097919837
25,"biomass (conv) (seawater),year=2035",6996.517294893604
26,"CSP_int (dry_hybrid),year=2035",2174474.8351090816
27,"biomass (IGCC) (seawater),year=2035",419286.1915980243
28,"CSP_subpeak (dry_hybrid),year=2035",275255.3278792492
29,"gas (steam/CT) (cooling pond),year=2035",264189.96749746316
30,"rooftop_pv,year=2035",48825005.87563791
31,"gas (CC) (cooling pond),year=2035",9787224.395375572
32,"CSP_int (recirculating),year=2035",2174474.8351090816
33,"Gen_III (recirculating),year=2035",7718874.725181803
34,"gas (CC) (dry cooling),year=2035",9947744.570883784
35,"CSP_base_storage,year=2035",830180.9170471841
36,"wind_base,year=2035",45607953.52585315
37,"wind_base_storage,year=2035",2486800.4288535113
